bed_id,department,bed_type,status,admission_id
BED0001,General Medicine,General,Maintenance,
BED0002,General Medicine,General,Occupied,ADM00172
BED0003,Oncology,General,Available,
BED0004,General Medicine,General,Available,
BED0005,ENT,General,Occupied,ADM03327
BED0006,Neurology,General,Occupied,ADM01193
BED0007,Gynecology,General,Available,
BED0008,Emergency,Semi-Private,Occupied,ADM03757
BED0009,Gynecology,General,Occupied,ADM07929
BED0010,Oncology,General,Occupied,ADM02968
BED0011,Orthopedics,General,Occupied,ADM07630
BED0012,Oncology,Semi-Private,Occupied,ADM04085
BED0013,Orthopedics,General,Occupied,ADM06496
BED0014,Pediatrics,Semi-Private,Available,
BED0015,Emergency,General,Occupied,ADM05198
BED0016,Pediatrics,Private,Available,
BED0017,General Medicine,Semi-Private,Occupied,ADM02698
BED0018,Emergency,General,Occupied,ADM06972
BED0019,ENT,ICU,Available,
BED0020,Oncology,General,Occupied,ADM06883
BED0021,Pediatrics,ICU,Occupied,ADM06352
BED0022,Neurology,Private,Available,
BED0023,ENT,Private,Occupied,ADM03689
BED0024,General Medicine,Semi-Private,Occupied,ADM00405
BED0025,Cardiology,General,Occupied,ADM06818
BED0026,General Medicine,General,Occupied,ADM04598
BED0027,Cardiology,Semi-Private,Occupied,ADM05873
BED0028,Gynecology,Private,Occupied,ADM06988
BED0029,Neurology,General,Occupied,ADM06557
BED0030,Pediatrics,Semi-Private,Occupied,ADM06603
BED0031,Cardiology,General,Available,
BED0032,Pediatrics,General,Occupied,ADM05356
BED0033,Gynecology,Semi-Private,Occupied,ADM05883
BED0034,Gynecology,Semi-Private,Available,
BED0035,General Medicine,ICU,Available,
BED0036,ENT,Private,Occupied,ADM02817
BED0037,Dermatology,General,Available,
BED0038,ENT,Private,Occupied,ADM03722
BED0039,Gynecology,General,Occupied,ADM03538
BED0040,Orthopedics,ICU,Occupied,ADM03794
BED0041,General Medicine,Semi-Private,Available,
BED0042,Emergency,General,Available,
BED0043,Pediatrics,General,Occupied,ADM06578
BED0044,Cardiology,General,Occupied,ADM01386
BED0045,General Medicine,Private,Occupied,ADM04433
BED0046,Gynecology,Private,Occupied,ADM02751
BED0047,Oncology,General,Occupied,ADM04048
BED0048,Pediatrics,Private,Occupied,ADM02348
BED0049,Pediatrics,Private,Occupied,ADM04665
BED0050,Neurology,General,Occupied,ADM02800
BED0051,Gynecology,General,Occupied,ADM02103
BED0052,Emergency,Private,Occupied,ADM02534
BED0053,Pediatrics,ICU,Occupied,ADM03725
BED0054,Neurology,Semi-Private,Occupied,ADM07694
BED0055,General Medicine,General,Maintenance,
BED0056,Emergency,Semi-Private,Available,
BED0057,General Medicine,General,Available,
BED0058,Orthopedics,Private,Occupied,ADM06346
BED0059,Gynecology,General,Occupied,ADM05450
BED0060,Pediatrics,General,Occupied,ADM05675
BED0061,ENT,Private,Occupied,ADM02141
BED0062,General Medicine,Semi-Private,Occupied,ADM01848
BED0063,Neurology,Semi-Private,Occupied,ADM06111
BED0064,Orthopedics,Semi-Private,Available,
BED0065,Emergency,General,Available,
BED0066,Orthopedics,General,Occupied,ADM00599
BED0067,ENT,General,Available,
BED0068,Cardiology,Private,Available,
BED0069,Emergency,General,Occupied,ADM05377
BED0070,General Medicine,Semi-Private,Occupied,ADM04322
BED0071,Oncology,Private,Occupied,ADM05696
BED0072,General Medicine,Private,Available,
BED0073,Oncology,General,Occupied,ADM00570
BED0074,Emergency,Private,Occupied,ADM02844
BED0075,Neurology,General,Available,
BED0076,Dermatology,Private,Occupied,ADM06748
BED0077,Pediatrics,Private,Available,
BED0078,Emergency,General,Available,
BED0079,Gynecology,Private,Available,
BED0080,Neurology,Semi-Private,Occupied,ADM00585
BED0081,General Medicine,General,Available,
BED0082,Emergency,General,Occupied,ADM07448
BED0083,Emergency,General,Occupied,ADM05734
BED0084,Cardiology,General,Available,
BED0085,Pediatrics,ICU,Occupied,ADM02525
BED0086,Gynecology,General,Occupied,ADM04668
BED0087,ENT,General,Occupied,ADM02753
BED0088,Oncology,ICU,Occupied,ADM04714
BED0089,Pediatrics,Private,Available,
BED0090,Dermatology,Semi-Private,Available,
BED0091,General Medicine,General,Available,
BED0092,Pediatrics,Semi-Private,Available,
BED0093,ENT,Private,Occupied,ADM02603
BED0094,Cardiology,Private,Available,
BED0095,General Medicine,General,Available,
BED0096,Cardiology,General,Available,
BED0097,Gynecology,General,Occupied,ADM06110
BED0098,Gynecology,General,Available,
BED0099,Oncology,General,Maintenance,
BED0100,Emergency,ICU,Occupied,ADM04549
BED0101,Emergency,Semi-Private,Occupied,ADM07375
BED0102,Dermatology,Private,Occupied,ADM01592
BED0103,Gynecology,General,Occupied,ADM05265
BED0104,Oncology,General,Occupied,ADM06806
BED0105,Emergency,Semi-Private,Occupied,ADM05281
BED0106,Neurology,General,Occupied,ADM03833
BED0107,Neurology,General,Occupied,ADM02564
BED0108,Emergency,General,Occupied,ADM02339
BED0109,General Medicine,General,Occupied,ADM07457
BED0110,Dermatology,Private,Available,
BED0111,Cardiology,General,Occupied,ADM03710
BED0112,Neurology,General,Available,
BED0113,Orthopedics,General,Occupied,ADM05817
BED0114,Oncology,General,Occupied,ADM06975
BED0115,Emergency,Semi-Private,Available,
BED0116,Neurology,Private,Occupied,ADM07796
BED0117,General Medicine,General,Occupied,ADM04239
BED0118,Gynecology,Private,Available,
BED0119,Pediatrics,General,Occupied,ADM04904
BED0120,Oncology,Private,Available,
BED0121,Cardiology,Semi-Private,Available,
BED0122,Cardiology,Private,Available,
BED0123,General Medicine,Private,Occupied,ADM03571
BED0124,Pediatrics,General,Available,
BED0125,Gynecology,General,Occupied,ADM02697
BED0126,Cardiology,General,Occupied,ADM06558
BED0127,ENT,General,Occupied,ADM02649
BED0128,Dermatology,Private,Available,
BED0129,ENT,General,Occupied,ADM01213
BED0130,Cardiology,General,Occupied,ADM02348
BED0131,Cardiology,General,Occupied,ADM03153
BED0132,Emergency,Semi-Private,Occupied,ADM06426
BED0133,Emergency,General,Occupied,ADM01686
BED0134,Gynecology,Private,Occupied,ADM04648
BED0135,Orthopedics,ICU,Occupied,ADM03030
BED0136,Cardiology,General,Occupied,ADM06398
BED0137,Orthopedics,Semi-Private,Occupied,ADM03515
BED0138,Dermatology,Private,Occupied,ADM01309
BED0139,Neurology,Semi-Private,Available,
BED0140,Gynecology,General,Occupied,ADM01802
BED0141,Pediatrics,Semi-Private,Occupied,ADM05765
BED0142,Orthopedics,ICU,Occupied,ADM05392
BED0143,Gynecology,Private,Available,
BED0144,Emergency,General,Occupied,ADM05207
BED0145,Gynecology,Semi-Private,Occupied,ADM02760
BED0146,Orthopedics,Private,Available,
BED0147,Emergency,General,Occupied,ADM01133
BED0148,Oncology,ICU,Occupied,ADM04857
BED0149,ENT,Semi-Private,Available,
BED0150,Pediatrics,Private,Occupied,ADM00135
BED0151,ENT,General,Occupied,ADM07971
BED0152,Orthopedics,ICU,Occupied,ADM00456
BED0153,Orthopedics,Semi-Private,Occupied,ADM07980
BED0154,General Medicine,Private,Occupied,ADM06850
BED0155,ENT,General,Occupied,ADM04654
BED0156,Cardiology,General,Occupied,ADM06531
BED0157,Gynecology,General,Occupied,ADM00664
BED0158,Pediatrics,General,Occupied,ADM06232
BED0159,Emergency,General,Available,
BED0160,Emergency,Private,Occupied,ADM05004
BED0161,General Medicine,General,Occupied,ADM02021
BED0162,Neurology,Semi-Private,Available,
BED0163,Oncology,General,Occupied,ADM02383
BED0164,Orthopedics,General,Available,
BED0165,Orthopedics,ICU,Occupied,ADM00499
BED0166,Dermatology,Private,Occupied,ADM06270
BED0167,Cardiology,General,Available,
BED0168,Oncology,General,Occupied,ADM05394
BED0169,Neurology,General,Occupied,ADM04156
BED0170,Gynecology,ICU,Maintenance,
BED0171,Cardiology,General,Available,
BED0172,Neurology,ICU,Occupied,
BED0173,Dermatology,Semi-Private,Occupied,ADM07453
BED0174,General Medicine,General,Occupied,ADM07526
BED0175,Dermatology,General,Occupied,ADM06005
BED0176,ENT,ICU,Occupied,ADM04588
BED0177,Oncology,General,Occupied,ADM07070
BED0178,ENT,Private,Available,
BED0179,Oncology,Semi-Private,Available,
BED0180,Cardiology,Private,Available,
BED0181,Gynecology,General,Occupied,ADM07512
BED0182,ENT,General,Maintenance,
BED0183,Cardiology,General,Available,
BED0184,Neurology,Private,Occupied,ADM05292
BED0185,Orthopedics,Semi-Private,Occupied,ADM04535
BED0186,Emergency,General,Occupied,ADM01258
BED0187,Neurology,General,Available,
BED0188,Pediatrics,Semi-Private,Occupied,ADM03199
BED0189,Emergency,General,Occupied,ADM04655
BED0190,Emergency,ICU,Occupied,ADM00156
BED0191,Dermatology,Private,Occupied,ADM03737
BED0192,Pediatrics,Private,Occupied,ADM05567
BED0193,Neurology,ICU,Occupied,ADM01310
BED0194,Pediatrics,ICU,Occupied,ADM02657
BED0195,Orthopedics,General,Available,
BED0196,Pediatrics,ICU,Occupied,
BED0197,Oncology,Private,Occupied,ADM04692
BED0198,Neurology,General,Occupied,ADM02100
BED0199,Cardiology,General,Available,
BED0200,ENT,General,Occupied,ADM04127
BED0201,Cardiology,General,Available,
BED0202,Pediatrics,General,Occupied,ADM06790
BED0203,Orthopedics,General,Occupied,ADM04929
BED0204,Dermatology,ICU,Occupied,ADM02043
BED0205,Orthopedics,Semi-Private,Occupied,ADM00080
BED0206,ENT,General,Occupied,ADM05087
BED0207,General Medicine,Semi-Private,Occupied,ADM04001
BED0208,Oncology,Private,Occupied,ADM01321
BED0209,Cardiology,Private,Occupied,ADM00335
BED0210,Emergency,General,Available,
BED0211,Gynecology,General,Occupied,ADM04487
BED0212,Neurology,General,Occupied,ADM07832
BED0213,Orthopedics,Private,Occupied,ADM02877
BED0214,Gynecology,Private,Occupied,ADM01424
BED0215,Dermatology,Private,Available,
BED0216,Pediatrics,ICU,Occupied,ADM00317
BED0217,Neurology,General,Available,
BED0218,Emergency,Semi-Private,Available,
BED0219,Emergency,General,Available,
BED0220,Oncology,Private,Available,
BED0221,Orthopedics,ICU,Occupied,ADM07403
BED0222,Dermatology,General,Occupied,ADM06351
BED0223,Cardiology,General,Occupied,ADM06396
BED0224,Neurology,Private,Occupied,ADM01711
BED0225,Emergency,General,Occupied,ADM04280
BED0226,Pediatrics,Private,Occupied,ADM03288
BED0227,Emergency,General,Available,
BED0228,ENT,General,Occupied,ADM05461
BED0229,Gynecology,General,Occupied,ADM01468
BED0230,Oncology,General,Occupied,ADM03878
BED0231,Pediatrics,Private,Occupied,ADM06804
BED0232,Orthopedics,General,Available,
BED0233,Gynecology,General,Occupied,ADM00089
BED0234,Orthopedics,ICU,Available,
BED0235,Dermatology,ICU,Available,
BED0236,Neurology,General,Available,
BED0237,ENT,Semi-Private,Occupied,ADM00052
BED0238,Oncology,ICU,Occupied,ADM05956
BED0239,Neurology,Semi-Private,Available,
BED0240,Dermatology,Semi-Private,Occupied,ADM06555
BED0241,Pediatrics,Semi-Private,Available,
BED0242,Neurology,Private,Occupied,ADM01565
BED0243,Dermatology,ICU,Occupied,ADM04780
BED0244,Neurology,General,Occupied,
BED0245,Pediatrics,Semi-Private,Occupied,ADM02663
BED0246,Oncology,General,Occupied,ADM01418
BED0247,Gynecology,General,Occupied,ADM07836
BED0248,Oncology,General,Occupied,ADM05552
BED0249,Oncology,ICU,Occupied,ADM05046
BED0250,General Medicine,General,Occupied,ADM01221
BED0251,Oncology,General,Occupied,ADM07887
BED0252,Cardiology,General,Occupied,ADM03013
BED0253,Emergency,General,Occupied,ADM04626
BED0254,Orthopedics,General,Occupied,ADM05134
BED0255,Oncology,Semi-Private,Occupied,ADM06543
BED0256,Orthopedics,General,Occupied,ADM05876
BED0257,Neurology,General,Occupied,ADM02070
BED0258,General Medicine,ICU,Available,
BED0259,Dermatology,ICU,Maintenance,
BED0260,Cardiology,General,Available,
BED0261,Oncology,Private,Occupied,ADM01609
BED0262,Gynecology,ICU,Available,
BED0263,Cardiology,Private,Occupied,ADM03194
BED0264,Cardiology,General,Available,
BED0265,Cardiology,General,Occupied,ADM01622
BED0266,General Medicine,Semi-Private,Occupied,ADM05758
BED0267,General Medicine,General,Occupied,ADM01511
BED0268,Dermatology,General,Occupied,ADM07285
BED0269,Dermatology,General,Occupied,ADM03505
BED0270,Gynecology,Semi-Private,Occupied,ADM02194
BED0271,Emergency,Private,Occupied,ADM04980
BED0272,Cardiology,General,Occupied,ADM03731
BED0273,Oncology,Semi-Private,Occupied,ADM07697
BED0274,Pediatrics,Semi-Private,Occupied,ADM04117
BED0275,Dermatology,ICU,Available,
BED0276,Pediatrics,General,Available,
BED0277,Oncology,General,Available,
BED0278,General Medicine,General,Occupied,ADM04076
